Sat, 21 Nov 15 21:47:11 +0000 | get_tweets.php -> __construct | Unable to connect to DB | attempted connection to tweetview
Sun, 22 Nov 15 09:14:34 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\x82 #...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356749397725184, tweet_text = "RT @ali_firoj: Two minute silence for Real Madrid fans...😂 #ElClasico #RealBarca #Barca #RealMadrid https://t.co/OEeH0NsTkR", created_at = "2015-11-22 09:14:01", geo_lat = 0, geo_long = 0, user_id = 231217434, screen_name = "arun2881989", name = "ARUN", profile_image_url = "http://pbs.twimg.com/profile_images/661850989163450368/SfRF09Tf_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:14:37 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668356763943612416, url="http://feeds.nbcnews.com/c/35002/f/663303/s/4bb2850f/sc/7/l/0L0Snbcnews0N0Cnews0Cworld0Cobama0Ewe0Ewont0Erelent0Eagainst0Eisis0Eparis0Eattacks0Ewill0Enot0En467756/story01.htm"
Sun, 22 Nov 15 09:14:39 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668356770885197824, url="http://www.theheraldng.com/from-michelle-obama-hugging-the-queen-and-lebron-james-sweaty-arm-around-princess-kate-here-are-the-most-famous-breaches-of-royal-protocol/?utm_source=dlvr.it&utm_medium=twitter"
Sun, 22 Nov 15 09:14:42 +0000 | ./parse_tweets.php -> insert | Out of range value for column 'friends_count' at row 1 | INSERT INTO users SET screen_name = "Machma7Machos", profile_image_url = "http://pbs.twimg.com/profile_images/647855181422571521/bfiHg-cD_normal.jpg", user_id = 1685967536, name = "Michael Machos", location = "U.S.A.", url = "", description = "", created_at = "2013-08-20 14:44:44", followers_count = 3912, friends_count = -106, statuses_count = 22612, time_zone = "", last_update = "2015-11-22 09:14:08"
Sun, 22 Nov 15 09:14:44 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\x94 h...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356793110814720, tweet_text = "RT @Bhut_Xhuma: We never gonna hear the end of this 😔 https://t.co/oTVW5ij83Y", created_at = "2015-11-22 09:14:11", geo_lat = 0, geo_long = 0, user_id = 129930287, screen_name = "Davin_GS", name = "年輕", profile_image_url = "http://pbs.twimg.com/profile_images/660800708632043520/y3xlViEq_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:14:47 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\x82\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356801142898688, tweet_text = "RT @WahabAlJeemaz: 😂😂😂😂😂😂 im crying https://t.co/b7qqioYtUH", created_at = "2015-11-22 09:14:13", geo_lat = 0, geo_long = 0, user_id = 2575516260, screen_name = "langawi92", name = "Lɑnɢɑwɪ", profile_image_url = "http://pbs.twimg.com/profile_images/639790123312218113/ETRkxUZy_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:14:53 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668356827592187904, url="http://www.foxnews.com/politics/2015/11/22/obama-reaffirms-commitment-to-destroying-isis.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxnews%2Fpolitics+%28Internal+-+Politics+-+Text%29"
Sun, 22 Nov 15 09:14:54 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x92\x80 h...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356830783864836, tweet_text = "RT @resolve: Obama said \"folks wanna pop off\" im screaming give this man a third term 💀 https://t.co/8fxB7d1ao6", created_at = "2015-11-22 09:14:20", geo_lat = 0, geo_long = 0, user_id = 3221997835, screen_name = "HechanSilva", name = "SILLY LITTLE SILVA", profile_image_url = "http://pbs.twimg.com/profile_images/667152202662678528/bOeTiBfx_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:15:01 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668356859460386816, url="http://conservativetribune.com/pilots-provide-solid-proof/?utm_source=Facebook&utm_medium=WesternJournalism&utm_content=2015-11-21&utm_campaign=manualpost"
Sun, 22 Nov 15 09:15:06 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668356881996513280, url="http://heavy.com/news/2015/11/who-committed-terrorist-attack-attacked-radisson-blu-hotel-bamako-mali-isis-islamic-state-al-qaeda-what-is-al-mourabitoun-affiliate-terrorism-north-africa-maghrib-maghreb-paris-american-hostages/"
Sun, 22 Nov 15 09:15:14 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\x82 #...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356917132206080, tweet_text = "RT ali_firoj: Two minute silence for Real Madrid fans...😂 #ElClasico #RealBarca #Barca #RealMadrid … https://t.co/zNGjqIxx5C", created_at = "2015-11-22 09:14:41", geo_lat = 0, geo_long = 0, user_id = 3328503122, screen_name = "halihaliey", name = "Haley", profile_image_url = "http://pbs.twimg.com/profile_images/635775296587743232/OVu2A3xN_normal.jpg", is_rt = 0
Sun, 22 Nov 15 09:15:16 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668356925650829312, url="http://www.independent.co.uk/news/people/andrew-neil-delivers-best-opening-address-ever-to-jihadist-losers-about-futility-of-isis-terror-a6741496.html"
Sun, 22 Nov 15 09:15:17 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xB7\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356931413782528, tweet_text = "ISIS suppose to bomb wwe survivor series tonight ! 😷👁👳🏻", created_at = "2015-11-22 09:14:44", geo_lat = 0, geo_long = 0, user_id = 706731398, screen_name = "Kama_Kaze35", name = "YallCantFuckWitMe", profile_image_url = "http://pbs.twimg.com/profile_images/665605822710472705/6NGDRGHm_normal.jpg", is_rt = 0
Sun, 22 Nov 15 09:15:21 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x92\x99\xE2\x9D...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356949256347648, tweet_text = "RT @xxxniallatorxxx: 2-0! #ElClasico #FCBarcelona #RealMadrid #MTVStars One Direction 💙❤️💛", created_at = "2015-11-22 09:14:48", geo_lat = 0, geo_long = 0, user_id = 3382375162, screen_name = "eveliinasusa", name = "Eveliina", profile_image_url = "http://pbs.twimg.com/profile_images/665690881949884416/906d1Vp9_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:15:34 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xBB\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356996513595392, tweet_text = "RT @anniinaw_: Which is your fav team? 😻💞❤⚽🏆\n#ElClasico #FCBarcelona #RealMadrid \nMine is FCB!😻💪⚽🏆❤\n#MTVStars One Direction", created_at = "2015-11-22 09:15:00", geo_lat = 0, geo_long = 0, user_id = 3382375162, screen_name = "eveliinasusa", name = "Eveliina", profile_image_url = "http://pbs.twimg.com/profile_images/665690881949884416/906d1Vp9_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:15:38 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\x8D' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668357014012039170, tweet_text = "I don\'t want a Rihanna I want a Jada Smith or Michelle Obama 😍", created_at = "2015-11-22 09:15:04", geo_lat = 0, geo_long = 0, user_id = 401194835, screen_name = "SaiahtheSlaya", name = "Hall™", profile_image_url = "http://pbs.twimg.com/profile_images/666201231396765696/WvGrsExG_normal.jpg", is_rt = 0
Sun, 22 Nov 15 09:15:44 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668357038838149120, url="http://news.google.com/news/url?sa=t&fd=R&ct2=uk&usg=AFQjCNFpywBT1cstaPu1FgvazX_kE-KDbQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=e4dRVpCaO9KGhQHb44r4BA&url=http%3A%2F%2Frepublicanherald.com%2Fnews%2Fdemocrats-mostly-back-green-issues-1.1972932&utm_source=dlvr.it&utm_medium=twitter"
Sun, 22 Nov 15 09:15:52 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668357075555217408, url="https://www.washingtonpost.com/world/national-security/inside-the-islamic-states-propaganda-machine/2015/11/20/051e997a-8ce6-11e5-acff-673ae92ddd2b_story.html?postshare=5061448181472761&tid=ss_tw-bottom"
Sun, 22 Nov 15 09:16:02 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668357119243108352, url="http://www.nytimes.com/roomfordebate/2015/11/19/does-europe-need-a-new-surveillance-system/to-combat-isis-europe-must-do-more-to-police-social-media"
Sun, 22 Nov 15 09:16:03 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xB1 h...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668357121633886208, tweet_text = "RT @xxxriainxxx: Was that an ISIS flag on the right? 😱 https://t.co/SAGquokY86", created_at = "2015-11-22 09:15:29", geo_lat = 0, geo_long = 0, user_id = 2602267214, screen_name = "1abuazzam", name = "Nordin Pumbaya", profile_image_url = "http://pbs.twimg.com/profile_images/498770171599654913/IpsMFLcU_normal.jpeg", is_rt = 1
Sun, 22 Nov 15 09:16:04 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\x82 h...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668357124783763456, tweet_text = "We are... MARSHALL! 😂 https://t.co/Ck4rlsfn3u", created_at = "2015-11-22 09:15:30", geo_lat = 0, geo_long = 0, user_id = 3298269175, screen_name = "JustMyRhetoric", name = "Molly Cunningham", profile_image_url = "http://pbs.twimg.com/profile_images/668000113109831680/dRRBXA_8_normal.jpg", is_rt = 0
Sun, 22 Nov 15 09:16:05 +0000 | ./parse_tweets.php -> insert | Data too long for column 'location' at row 1 | INSERT INTO users SET screen_name = "teddy0ryan", profile_image_url = "http://pbs.twimg.com/profile_images/668176694662991872/9ShUkoqj_normal.png", user_id = 21584939, name = "Azizi Othman, EMBA", location = "Kuala Lumpur Federal Territory, Malaysia", url = "http://bit.ly/1yuqjSY", description = "21st century idealist lost in reality. \'All you need is love.All you want is sex.All you have is porn\'", created_at = "2009-02-22 18:26:17", followers_count = 1430, friends_count = 1408, statuses_count = 84445, time_zone = "Kuala Lumpur", last_update = "2015-11-22 09:15:32"
Sun, 22 Nov 15 09:16:11 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668357158589845505, url="http://www.dailymail.co.uk/news/article-3162110/ISIS-child-executioner-ignores-prisoners-pleas-spare-shoots-head-without-hesitating-Shocking-footage-shows-Islamic-State-s-evil-spread-generation.html"
Sun, 22 Nov 15 09:16:12 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668357160116572160, url="https://www.washingtonpost.com/world/national-security/inside-the-islamic-states-propaganda-machine/2015/11/20/051e997a-8ce6-11e5-acff-673ae92ddd2b_story.html?postshare=5061448181472761&tid=ss_tw-bottom"
Sun, 22 Nov 15 09:16:27 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x87\xBA\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668357218329305089, tweet_text = "RT @patrick_hostis: Rigorous Vetting Questionare:\nQ: r u a terrorist?\nA: No\nWelcome 2 🇺🇸!\n#NoSyrianRefugees @CarmineZozzora #tcot #ccot  ht…", created_at = "2015-11-22 09:15:52", geo_lat = 0, geo_long = 0, user_id = 1939374470, screen_name = "SteveStevethe", name = "steve", profile_image_url = "http://pbs.twimg.com/profile_images/472007311607615488/ngVYJ6sq_normal.jpeg", is_rt = 1
Sun, 22 Nov 15 09:16:30 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668357234313809921, url="http://www.dailymail.co.uk/news/article-3162110/ISIS-child-executioner-ignores-prisoners-pleas-spare-shoots-head-without-hesitating-Shocking-footage-shows-Islamic-State-s-evil-spread-generation.html"
Sun, 22 Nov 15 09:16:37 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xA5\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668357265376698368, tweet_text = "RT @giftedteen: 2 white men were just caught entering a school 😥😓😓 school shooters maybe?? 😩😨  https://t.co/TYX0nYilYl", created_at = "2015-11-22 09:16:04", geo_lat = 0, geo_long = 0, user_id = 287299676, screen_name = "HBIC_Tasia", name = "♪BobbySoxer♪", profile_image_url = "http://pbs.twimg.com/profile_images/635023793631526912/5qIsKgm0_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:16:37 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668357265532051456, url="https://www.change.org/p/david-cameron-mp-barack-obama-buhari-u-s-senate-u-s-house-of-representatives-release-pro-biafran-activist-nnamdi-kanu-from-nigerian-detention?recruiter=46758630&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_twitter_responsive"
Sun, 22 Nov 15 09:16:48 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\x81 W...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668357312189489152, tweet_text = "RT @Guardiola4Fans: My  friend #Mourinho 😁 Who else is watching something else rather than #ElClasico? I\'m watching #S04FCB \n\n#Guardiola ht…", created_at = "2015-11-22 09:16:15", geo_lat = 0, geo_long = 0, user_id = 402722377, screen_name = "sallybarca", name = "sally", profile_image_url = "http://pbs.twimg.com/profile_images/654709535311966210/lSGsIeXP_normal.png", is_rt = 1
Sun, 22 Nov 15 09:16:58 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xA5\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668357352316243968, tweet_text = "RT @giftedteen: 2 white men were just caught entering a school 😥😓😓 school shooters maybe?? 😩😨  https://t.co/TYX0nYilYl", created_at = "2015-11-22 09:16:24", geo_lat = 0, geo_long = 0, user_id = 4001944339, screen_name = "kubrarose95", name = "Kubra Rose", profile_image_url = "http://pbs.twimg.com/profile_images/668070121139662848/LzbspADo_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:17:01 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\x82\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668357366136483840, tweet_text = "She\'s wearing a Reba shirt😂😂 https://t.co/b81e3YSbte", created_at = "2015-11-22 09:16:28", geo_lat = 0, geo_long = 0, user_id = 3330408345, screen_name = "cameronhaleyyy", name = "cameron✼", profile_image_url = "http://pbs.twimg.com/profile_images/667172115800453121/SSl_Yf7O_normal.jpg", is_rt = 0
Sun, 22 Nov 15 09:17:03 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x92\x99\xE2\x9D...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668357375527636992, tweet_text = "RT @xxxniallatorxxx: 1-0! 💙❤️💛 #PrayForParis  #ElClasico\n\n#MTVStars One Direction", created_at = "2015-11-22 09:16:30", geo_lat = 0, geo_long = 0, user_id = 3382375162, screen_name = "eveliinasusa", name = "Eveliina", profile_image_url = "http://pbs.twimg.com/profile_images/665690881949884416/906d1Vp9_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:17:03 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668357374625775616, url="http://timesofindia.indiatimes.com/india/Peace-talks-along-with-military-action-required-to-fight-ISIS-Sri-Sri-Ravi-Shankar/articleshow/49879918.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=TOIIndiaNews"
Sun, 22 Nov 15 09:17:08 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668357397241602048, url="http://www.independent.co.uk/news/world/middle-east/inside-isis-the-first-western-journalist-ever-given-access-to-the-islamic-state-has-just-returned-9938438.html"
Sun, 22 Nov 15 09:17:13 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xBB\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668357412458491904, tweet_text = "RT @anniinaw_: @xxxniallatorxxx Yaaass!! 😻💞❤⚽ #ElClasico #MTVStars One Direction #MadeInTheAM #FCBarcelona", created_at = "2015-11-22 09:16:39", geo_lat = 0, geo_long = 0, user_id = 3382375162, screen_name = "eveliinasusa", name = "Eveliina", profile_image_url = "http://pbs.twimg.com/profile_images/665690881949884416/906d1Vp9_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:17:25 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668357466464219136, url="http://www.independent.co.uk/news/world/middle-east/isis-in-a-borderless-world-the-days-when-we-could-fight-foreign-wars-and-be-safe-at-home-may-be-long-a6741146.html"
Sun, 22 Nov 15 09:17:32 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xA5\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668357493274316801, tweet_text = "RT @giftedteen: 2 white men were just caught entering a school 😥😓😓 school shooters maybe?? 😩😨  https://t.co/TYX0nYilYl", created_at = "2015-11-22 09:16:58", geo_lat = 0, geo_long = 0, user_id = 1101350582, screen_name = "AnneSoDeffon", name = "Tōωikα †", profile_image_url = "http://pbs.twimg.com/profile_images/640965071116599296/HZgxwkjN_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:17:34 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xA5\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668357501537140736, tweet_text = "RT @giftedteen: 2 white men were just caught entering a school 😥😓😓 school shooters maybe?? 😩😨  https://t.co/TYX0nYilYl", created_at = "2015-11-22 09:17:00", geo_lat = 0, geo_long = 0, user_id = 556449436, screen_name = "skyskydain", name = "Sky™", profile_image_url = "http://pbs.twimg.com/profile_images/660884148081459201/gts6kWBR_normal.png", is_rt = 1
